id;fecha;valor;fecha_pago
1;2020-03-19T01:12:33;66735;2020-03-18T05:50:00
2;2020-03-18T07:08:26;25896;2020-03-18T19:14:22
3;2020-03-18T12:52:45;17222;2020-03-18T16:06:34
4;2020-03-18T12:37:53;97186;2020-03-18T17:08:48
5;2020-03-18T07:21:31;26606;2020-03-18T14:51:29
6;2020-03-18T17:44:47;87056;2020-03-18T17:49:04
7;2020-03-18T17:27:43;23235;2020-03-18T07:03:03
8;2020-03-18T22:11:48;11237;2020-03-18T12:47:03
9;2020-03-18T09:49:28;67822;2020-03-18T06:59:26
10;2020-03-18T22:26:59;99908;2020-03-18T03:15:47
